user_id,visitStartTime,date,pageviews,transactions
0247235129567059791,1490432151,2017-03-25,7,
5906285355458677002,1490507697,2017-03-26,10,
480138187155511340,1490446963,2017-03-25,10,
4559374444967001519,1490451129,2017-03-25,8,
6706101398219988243,1490502399,2017-03-26,6,
9233528953628251284,1490455932,2017-03-25,9,
0248467540088481595,1490451837,2017-03-25,15,
6507411186084966700,1490501461,2017-03-26,10,
7569357502507594181,1490497873,2017-03-26,11,
3560102176053592873,1490502935,2017-03-26,13,
9649644849483604213,1490474789,2017-03-25,13,
5239249579142527505,1490470630,2017-03-25,10,
8105023166548451333,1490441517,2017-03-25,9,
2411104240309430308,1490479854,2017-03-25,18,
0247235129567059791,1490430074,2017-03-25,21,
2998583787168505453,1490486491,2017-03-26,18,
1836294896779048399,1490497872,2017-03-26,17,
0172768534253108976,1490502373,2017-03-26,13,
8326579042253523502,1490486677,2017-03-26,17,
294074179132707998,1490448156,2017-03-25,17,
9669933764937008223,1490483332,2017-03-25,20,1
2282202431469730802,1490451371,2017-03-25,18,
5067405674037754240,1490447270,2017-03-25,19,
1481084267519588690,1490460476,2017-03-25,20,1
6912548078400356601,1490501976,2017-03-26,16,
9216546597638935577,1490464424,2017-03-25,19,1
0187906070751437399,1490497637,2017-03-26,21,
1860043119343068169,1490447121,2017-03-25,20,1
3726198923763177137,1490462409,2017-03-25,21,
7124875568019643601,1490479893,2017-03-25,22,
0355692456617973868,1490465298,2017-03-25,25,1
8612862251089720906,1490500626,2017-03-26,13,
4782949872529543342,1490499352,2017-03-26,24,
986846268373804927,1490443369,2017-03-25,23,
7470497398102841276,1490475140,2017-03-25,17,
9659526354101499499,1490468567,2017-03-25,24,
4120763087486719912,1490483573,2017-03-25,22,
8891361865511013068,1490456092,2017-03-25,19,
3527948384669576081,1490459851,2017-03-25,20,
1058480907187781934,1490457152,2017-03-25,24,
5151555538957672534,1490478530,2017-03-25,19,
7198056272387371206,1490444518,2017-03-25,24,
5652699914605840936,1490459224,2017-03-25,24,
3283030329692495258,1490477313,2017-03-25,27,1
079656074413776629,1490453989,2017-03-25,29,1
112634254987821526,1490431206,2017-03-25,27,
0528249669888662212,1490491159,2017-03-26,27,
7885956623601753889,1490460662,2017-03-25,28,
0436308854548495165,1490484756,2017-03-25,28,2
5045635710262870815,1490450708,2017-03-25,26,
7144802922075017569,1490497650,2017-03-26,35,
2053990393896194964,1490491035,2017-03-26,35,
8598942024474459358,1490464428,2017-03-25,24,
0149278541064005129,1490491960,2017-03-26,34,
5245744068281919619,1490493214,2017-03-26,33,
5390598933983780871,1490461638,2017-03-25,31,
8748733332941588759,1490478252,2017-03-25,3,
9982117639715718754,1490489974,2017-03-26,60,1
6673023058516101962,1490489949,2017-03-26,50,
078187456833770765,1490494049,2017-03-26,51,
2652072060796286471,1490480074,2017-03-25,44,
30772615576737532,1490502237,2017-03-26,38,
5045635710262870815,1490478223,2017-03-25,51,1
5041110715755196949,1490451308,2017-03-25,70,1
9960637165056298477,1490477494,2017-03-25,101,
4229559481922768853,1490483936,2017-03-25,1,
6505790286577085092,1490458696,2017-03-25,1,
9720397560435417096,1490500259,2017-03-26,1,
9153594417609447024,1490443417,2017-03-25,1,
3322121442830773834,1490504238,2017-03-26,1,
3527948384669576081,1490453033,2017-03-25,1,
4904272653576964528,1490459869,2017-03-25,1,
2354970210972266358,1490478384,2017-03-25,1,
1274014879348940139,1490477015,2017-03-25,1,
4564918917650863557,1490484021,2017-03-25,1,
9342145448658347858,1490485472,2017-03-25,1,
556186222098114097,1490434065,2017-03-25,1,
5588123807632147655,1490493595,2017-03-26,1,
4640387849332851853,1490442283,2017-03-25,1,
3786758132955418890,1490482016,2017-03-25,1,
7963237959303955405,1490470546,2017-03-25,1,
3204103483721254949,1490497914,2017-03-26,1,
5210683972027833045,1490426489,2017-03-25,1,
9367553272153926920,1490447797,2017-03-25,1,
1209313070471923921,1490484394,2017-03-25,1,
9580643519714151309,1490492020,2017-03-26,1,
954574824148318044,1490474527,2017-03-25,1,
7475642478287766503,1490433292,2017-03-25,1,
079910420448187400,1490463805,2017-03-25,1,
8221866837614784552,1490496648,2017-03-26,1,
9338451845180316842,1490494438,2017-03-26,1,
0996766950408738812,1490433145,2017-03-25,1,
6289602948308760653,1490479196,2017-03-25,1,
147014723117078500,1490459642,2017-03-25,1,
9342145448658347858,1490504876,2017-03-26,1,
248252973197692192,1490446662,2017-03-25,1,
092552035554231606,1490504327,2017-03-26,1,
0171207388864587272,1490444704,2017-03-25,1,
6446073852808779843,1490453975,2017-03-25,1,
346499865757546493,1490482775,2017-03-25,1,
1542744553918037510,1490474666,2017-03-25,1,
9411217323711344228,1490475069,2017-03-25,1,
